,names,Market Cap
0,"['Utkarsh Small Finance Bank Ltd', 'UTKARSHBNK']","['5,589.31', '5,589.31']"
1,"['Share India Securities Ltd', 'SHAREINDIA']","['6,226.27', '6,226.27']"
2,"['Tanla Platforms Ltd', 'TANLA']","['12,316.52', '12,316.52']"
3,"['Route Mobile Ltd', 'ROUTE']","['9,843.36', '9,843.36']"
4,"['SBI Cards and Payment Services Ltd', 'SBICARD']","['67,949.98', '67,949.98']"
5,"['Bajaj Finance Ltd', 'BAJFINANCE']","['4,17,084.61', '4,17,084.61']"
6,"['AU Small Finance Bank Ltd', 'AUBANK']","['47,078.74', '47,078.74']"
7,"['Indegene Ltd', 'INDGN']","['13,759.23', '13,759.23']"
8,"['Indigo Paints Ltd', 'INDIGOPNTS']","['7,000.52', '7,000.52']"
9,"['Happiest Minds Technologies Ltd', 'HAPPSTMNDS']","['11,916.25', '11,916.25']"
10,"['APL Apollo Tubes Ltd', 'APLAPOLLO']","['39,329.39', '39,329.39']"
11,"['Tata Elxsi Ltd', 'TATAELXSI']","['43,367.44', '43,367.44']"
12,"['Navin Fluorine International Ltd', 'NAVINFLUOR']","['16,534.08', '16,534.08']"
13,"['Easy Trip Planners Ltd', 'EASEMYTRIP']","['7,035.00', '7,035.00']"
14,"['Titan Company Ltd', 'TITAN']","['3,19,732.47', '3,19,732.47']"
15,"['Astral Ltd', 'ASTRAL']","['52,542.10', '52,542.10']"
16,"['Aether Industries Ltd', 'AETHER']","['12,070.69', '12,070.69']"
